job_id,job_name,label,pair_type,interaction_class,binding_mode,llps,in_pdb,neg_type,evidence_strength,total_residues,n_seeds,has_full_data,iptm,iptm_sd,chain_pair_iptm,chain_pair_iptm_sd,ranking_score,ranking_score_sd,ptm,ptm_sd,fraction_disordered,fraction_disordered_sd,chain_pair_pae_min,chain_pair_pae_min_sd,pae_inter_mean,pae_inter_mean_sd,pae_inter_p05,pae_inter_p05_sd,pae_inter_frac_lt10,pae_inter_frac_lt10_sd,pae_inter_frac_lt5,pae_inter_frac_lt5_sd,contact_prob_sum,contact_prob_sum_sd,contact_prob_density,contact_prob_density_sd,contact_prob_max,contact_prob_max_sd,n_contacts_p50,n_contacts_p50_sd,contact_participation_ratio,contact_participation_ratio_sd,plddt_mean,plddt_mean_sd,ipsae,ipsae_sd,lis,lis_sd
P11,P11_TDP43_CTD__TDP43_CTD,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,296,5,1,0.12,0.0102,0.12,0.0102,0.63,0.03059,0.17,0.01166,1.0,0.07626,5.83,1.02299,28.38158,0.31763,15.1,0.74673,0.00676,0.00341,0.0,0.0,305.05,0.0,0.01393,0.0,0.69,0.0,28,0.0,1485.97078,0.0,44.93743,0.99445,0.01647,0.00243,0.15135,0.03245
P12,P12_DDX4_NIDR__DDX4_NIDR,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,472,5,1,0.08,0.0,0.08,0.0,0.58,0.1,0.09,0.0,1.0,0.204,12.78,1.47591,30.96057,0.27655,27.2,1.62185,0.0,0.0,0.0,0.0,100.73,0.0,0.00181,0.0,0.32,0.0,0,0.0,1261.99088,0.0,43.50622,1.4834,0.0,0.0,0.0,0.0
P13,P13_EWSR1_LC__EWSR1_LC,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,530,5,1,0.13,0.00632,0.13,0.00632,0.63,49.00123,0.14,0.008,1.0,0.028,4.94,0.15239,30.06998,0.12336,21.3,0.54259,0.0041,0.00045,1e-05,1e-05,300.62,0.0,0.00428,0.0,0.72,0.0,30,0.0,1565.676,0.0,47.53946,0.23935,0.02125,0.00113,0.2288,0.0091
P14,P14_TAF15_LC__TAF15_LC,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,416,5,1,0.14,0.01095,0.14,0.01095,0.64,0.0098,0.14,0.008,1.0,0.0,4.63,0.19728,29.10106,0.15739,18.1,0.77614,0.00963,0.00147,2e-05,1e-05,268.05,0.0,0.0062,0.0,0.67,0.0,25,0.0,1200.18378,0.0,40.60587,0.72598,0.02343,0.00134,0.19964,0.01139
P15,P15_UBQLN2_CT__UBQLN2_CT,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,350,5,1,0.17,0.0098,0.17,0.0098,0.47,0.11324,0.2,0.0049,0.59,0.21698,4.72,0.56173,28.94298,0.16029,20.7,0.92087,0.00777,0.00137,5e-05,3e-05,203.41,0.0,0.00664,0.0,0.83,0.0,23,0.0,2057.98726,0.0,58.29989,1.072,0.02221,0.00258,0.25724,0.02813
P16,P16_NSP1_FG__NSP1_FG,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,350,5,1,0.2,0.00748,0.2,0.00748,0.35,0.032,0.32,0.01356,0.25,0.05122,10.82,0.37082,25.38697,0.26962,18.1,0.5004,0.0,0.0,0.0,0.0,154.97,0.0,0.00506,0.0,0.41,0.0,0,0.0,2878.5795,0.0,40.47202,1.09432,0.0,0.0,0.04623,0.00951
P17,P17_TAU_2N4R__TAU_2N4R,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,882,5,1,0.23,0.03429,0.23,0.03429,0.71,49.05677,0.23,0.03429,0.96,0.12303,2.97,0.51461,30.30165,0.26729,19.6,3.57133,0.0129,0.00401,0.00099,0.00039,290.6,0.0,0.00149,0.0,0.77,0.0,84,0.0,1014.7921,0.0,44.12825,1.98599,0.11481,0.037,0.27369,0.03899
P18,P18_SNCA_full__SNCA_full,positive,homotypic,homo_fuzzy,fuzzy,context,,,demonstrated,280,5,1,0.23,0.05329,0.23,0.05329,0.73,0.08452,0.23,0.03688,1.0,0.15735,1.78,1.4878,27.30003,1.06933,10.6,3.3967,0.04526,0.01589,0.00913,0.00353,267.6,0.0,0.01365,0.0,0.88,0.0,165,0.0,714.5285,0.0,55.766,4.71111,0.06855,0.01743,0.34504,0.06305
P19,P19_CAPRIN1_CT__CAPRIN1_CT,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,206,5,1,0.09,0.0172,0.09,0.0172,0.59,0.01497,0.11,0.0102,1.0,0.0,8.6,3.97057,28.18323,0.93314,16.4,3.99408,0.00165,0.00064,0.0,0.0,91.93,0.0,0.00867,0.0,0.26,0.0,0,0.0,1442.83627,0.0,49.18483,0.8053,0.01304,0.00619,0.10814,0.05255
P20,P20_MAX_bHLHZ__MAX_bHLHZ,positive,homotypic,homo_fold,mutual_folding,no,1AN2,,demonstrated,162,5,1,0.8,0.0049,0.8,0.0049,0.95,0.03124,0.8,0.0,0.31,0.06312,0.99,0.012,6.12483,0.09303,1.5,0.04,0.82236,0.00716,0.5599,0.01129,90.22,0.0,0.01375,0.0,1.0,0.0,89,0.0,103.13274,0.0,86.76974,0.24869,0.6463,0.00434,0.6215,0.00597
P21,P21_GCN4_LZ__GCN4_LZ,positive,homotypic,homo_fold,mutual_folding,no,2ZTA,,demonstrated,66,5,1,0.73,0.02728,0.73,0.02728,1.24,0.04427,0.76,0.02315,1.0,0.036,0.95,0.05177,4.13177,0.22721,1.3,0.07483,0.90129,0.00593,0.80028,0.02048,45.34,0.0,0.04163,0.0,1.0,0.0,45,0.0,51.9779,0.0,88.06871,1.33229,0.43757,0.03191,0.76364,0.0206
N01,N01_FUS_LC__PTMA_full,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,274,5,1,0.04,0.0,0.04,0.0,0.55,0.0,0.09,0.0,1.0,0.0,31.1,0.0402,31.59522,0.00642,31.4,0.04899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47.43189,0.20727,0.0,0.0,0.0,0.0
N02,N02_HNRNPA1_LC__H10_full,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,329,5,1,0.06,0.004,0.06,0.004,0.5,0.0049,0.27,0.0,0.79,0.004,15.31,2.01457,31.24701,0.03512,29.2,0.31875,0.0,0.0,0.0,0.0,3.54,0.0,0.00014,0.0,0.06,0.0,0,0.0,223.77857,0.0,56.46005,0.50903,0.0,0.0,0.0,0.0
N03,N03_TDP43_CTD__NPM1_acidic,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,269,5,1,0.05,0.0,0.05,0.0,0.19,0.04874,0.13,0.008,0.25,0.09558,27.96,0.45358,30.99095,0.19565,29.7,0.32619,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0,0.0,4.0,0.0,49.11868,0.42072,0.0,0.0,0.0,0.0
N04,N04_EWSR1_LC__SNCA_full,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,405,5,1,0.05,0.004,0.05,0.004,0.57,0.10613,0.12,0.0049,1.0,0.21388,31.05,0.88273,31.60469,0.05747,31.4,0.16733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,53.45826,2.7614,0.0,0.0,0.0,0.0
N05,N05_TAF15_LC__MAX_bHLHZ,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,289,5,1,0.2,0.02926,0.2,0.02926,0.62,0.10628,0.29,0.004,0.81,0.16881,9.82,1.33099,29.14275,0.57397,20.4,1.35706,6e-05,2e-05,0.0,0.0,35.41,0.0,0.0021,0.0,0.12,0.0,0,0.0,1276.20163,0.0,54.97556,1.21483,0.01031,0.00412,0.0491,0.01855
N06,N06_DDX4_NIDR__H10_full,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,430,5,1,0.07,0.004,0.07,0.004,0.52,0.004,0.23,0.0,0.84,0.0049,24.53,1.96175,31.48598,0.02433,31.0,0.07483,0.0,0.0,0.0,0.0,1.15,0.0,3e-05,0.0,0.04,0.0,0,0.0,83.1761,0.0,48.32669,0.14934,0.0,0.0,0.0,0.0
N07,N07_CAPRIN1_CT__GCN4_LZ,negative,heterotypic,noninteracting,none,no,,cross_kingdom,inferred,136,5,1,0.09,0.03816,0.09,0.03816,0.62,0.12474,0.24,0.0172,1.0,0.28305,16.76,4.69435,28.37893,2.10468,21.9,4.22914,0.0,6e-05,0.0,0.0,26.22,0.0,0.00771,0.0,0.07,0.0,0,0.0,1192.31426,0.0,68.24997,2.81954,0.0,0.00421,0.0,0.01565
N08,N08_G3BP1_IDR1__NPM1_acidic,negative,heterotypic,noninteracting,none,no,,charge_repulsive,inferred,200,5,1,0.04,0.0,0.04,0.0,0.24,0.05671,0.1,0.004,0.38,0.11513,26.83,0.71882,30.40969,0.24872,28.9,0.44272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,56.59893,0.63831,0.0,0.0,0.0,0.0
N09,N09_PTMA_full__NPM1_acidic,negative,heterotypic,noninteracting,none,no,,charge_repulsive,inferred,232,5,1,0.05,0.0049,0.05,0.0049,0.33,0.10111,0.1,0.004,0.54,0.20915,23.6,0.9963,30.84373,0.36365,28.9,0.34641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.36746,0.66406,0.0,0.0,0.0,0.0
N10,N10_FUS_LC__ERD10_full,negative,heterotypic,noninteracting,none,no,,cross_kingdom,inferred,423,5,1,0.06,0.0,0.06,0.0,0.57,0.0,0.12,0.0,1.0,0.0,30.15,0.14634,31.56312,0.00911,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,52.26365,0.11016,0.0,0.0,0.0,0.0
N11,N11_TDP43_CTD__ERD10_full,negative,heterotypic,noninteracting,none,no,,cross_kingdom,inferred,408,5,1,0.07,0.004,0.07,0.004,0.58,0.0049,0.12,0.0,1.0,0.0,23.91,1.62441,31.42103,0.04298,30.7,0.13266,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0,0.0,13.0,0.0,51.77375,0.20865,0.0,0.0,0.0,0.0
N12,N12_NSP1_FG__H10_full,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,369,5,1,0.09,0.00894,0.09,0.00894,0.4,0.01939,0.27,0.0049,0.56,0.0402,22.26,1.61349,30.41422,0.249,26.3,1.16447,0.0,0.0,0.0,0.0,0.27,0.0,1e-05,0.0,0.01,0.0,0,0.0,27.0,0.0,45.80684,1.15506,0.0,0.0,0.0,0.0
N13,N13_SRSF1_RS__PTMA_full,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,163,5,1,0.06,0.00748,0.06,0.00748,0.32,0.05115,0.1,0.0102,0.5,0.11321,16.51,1.90217,27.91674,0.5017,21.815,0.44127,0.0,0.0,0.0,0.0,12.1,0.0,0.0021,0.0,0.04,0.0,0,0.0,579.61203,0.0,51.40722,0.50192,0.0,0.0,0.0,0.0
N14,N14_U170K_RS__NPM1_acidic,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,328,5,1,0.15,0.01625,0.15,0.01625,0.67,0.0405,0.29,0.01356,1.0,0.05571,7.72,2.07429,29.62925,0.08469,17.8,1.14438,0.01248,0.00412,0.0,0.0,10.59,0.0,0.00042,0.0,0.24,0.0,0,0.0,144.01965,0.0,73.23108,2.10133,0.01326,0.00526,0.10296,0.03698
N15,N15_FOS_bZIP__MAX_bHLHZ,negative,heterotypic,noninteracting,none,no,,hard_coiledcoil,demonstrated,143,5,1,0.78,0.008,0.78,0.008,0.97,0.0172,0.78,0.00632,0.38,0.0325,0.87,0.0049,6.08884,0.16088,1.3,0.0,0.83513,0.01155,0.48885,0.01616,72.59,0.0,0.01445,0.0,1.0,0.0,70,0.0,80.62137,0.0,88.49793,0.38783,0.59907,0.01442,0.58452,0.00923
N16,N16_JUN_bZIP__MAX_bHLHZ,negative,heterotypic,noninteracting,none,no,,hard_coiledcoil,demonstrated,148,5,1,0.7,0.008,0.7,0.008,0.89,0.01833,0.75,0.00632,0.36,0.03311,1.94,0.08704,9.36313,0.32211,4.1,0.24819,0.64142,0.02824,0.11295,0.02025,71.52,0.0,0.01318,0.0,0.99,0.0,70,0.0,87.06008,0.0,87.22734,0.13484,0.26383,0.01932,0.37179,0.01847
N17,N17_GCN4_LZ__JUN_bZIP,negative,heterotypic,noninteracting,none,no,,hard_coiledcoil,demonstrated,100,5,1,0.8,0.00748,0.8,0.00748,1.17,0.01789,0.74,0.008,0.76,0.02871,0.99,0.02498,5.87289,0.14165,1.4,0.0,0.84713,0.00708,0.59905,0.01311,47.19,0.0,0.02134,0.0,0.99,0.0,45,0.0,55.15191,0.0,87.50097,0.43005,0.52812,0.00891,0.64752,0.00574
N18,N18_HNRNPA2_LC__ERD10_full,negative,heterotypic,noninteracting,none,no,,cross_kingdom,inferred,420,5,1,0.06,0.0,0.06,0.0,0.57,0.0,0.12,0.0,1.0,0.0,24.7,1.64459,31.54457,0.02971,31.1,0.13565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,52.25035,0.0576,0.0,0.0,0.0,0.0
N19,N19_UBQLN2_CT__SNCA_full,negative,heterotypic,noninteracting,none,no,,noncognate,absence_only,315,5,1,0.04,0.004,0.04,0.004,0.22,0.06112,0.18,0.00748,0.3,0.12506,28.66,1.17305,31.62002,0.03715,31.4,0.17205,0.0,0.0,0.0,0.0,15.74,0.0,0.00064,0.0,0.04,0.0,0,0.0,1343.53362,0.0,62.67523,1.78831,0.0,0.0,0.0,0.0
N20,N20_CAPRIN1_CT__ERD10_full,negative,heterotypic,noninteracting,none,no,,cross_kingdom,inferred,363,5,1,0.05,0.0,0.05,0.0,0.56,0.0,0.11,0.0,1.0,0.0,27.99,0.81199,31.50645,0.03131,31.1,0.10198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57.33119,0.36401,0.0,0.0,0.0,0.0
N21,N21_PTMA_full__PTMA_full,negative,homotypic,noninteracting,none,no,,homo_negative,inferred,222,5,1,0.06,0.00632,0.06,0.00632,0.57,0.08025,0.13,0.008,1.0,0.164,24.77,1.98763,30.75685,0.31928,27.7,0.902,0.0,0.0,0.0,0.0,36.63,0.0,0.00297,0.0,0.16,0.0,0,0.0,1109.53188,0.0,53.19316,2.77243,0.0,0.0,0.0,0.0
N22,N22_H10_full__H10_full,negative,homotypic,noninteracting,none,no,,homo_negative,uncertain,388,5,1,0.07,0.0049,0.07,0.0049,0.42,0.0049,0.24,0.004,0.63,0.0,24.71,0.85091,30.89468,0.09357,28.4,0.32619,0.0,0.0,0.0,0.0,31.84,0.0,0.00085,0.0,0.08,0.0,0,0.0,1574.69028,0.0,52.39769,0.23378,0.0,0.0,0.0,0.0
N23,N23_NPM1_acidic__NPM1_acidic,negative,homotypic,noninteracting,none,no,,homo_negative,inferred,242,5,1,0.07,0.0049,0.07,0.0049,0.55,0.14805,0.1,0.0049,0.96,0.29674,18.92,1.20671,29.89737,0.09845,25.5,0.44989,0.0,0.0,0.0,0.0,39.09,0.0,0.00267,0.0,0.15,0.0,0,0.0,1588.55193,0.0,51.45228,1.25393,0.0,0.0,0.0,0.0
N24,N24_ERD10_full__ERD10_full,negative,homotypic,noninteracting,none,no,,homo_negative,uncertain,520,5,1,0.09,0.0049,0.09,0.0049,0.59,0.02,0.12,0.0049,1.0,0.032,19.49,1.51831,31.22055,0.05901,29.7,0.33823,0.0,0.0,0.0,0.0,43.89,0.0,0.00065,0.0,0.17,0.0,0,0.0,1868.23014,0.0,44.09028,0.15177,0.0,0.0,0.0,0.0
N25,N25_G3BP1_IDR1__G3BP1_IDR1,negative,homotypic,noninteracting,none,no,,homo_negative,inferred,158,5,1,0.05,0.0049,0.05,0.0049,0.56,0.00748,0.1,0.0102,1.0,0.0,19.35,1.63444,29.23478,0.42129,23.7,1.28779,0.0,0.0,0.0,0.0,34.43,0.0,0.00552,0.0,0.13,0.0,0,0.0,1063.066,0.0,52.79954,0.40787,0.0,0.0,0.0,0.0
N26,N26_NCOA3_ACTR__NCOA3_ACTR,negative,homotypic,noninteracting,none,no,,homo_negative,demonstrated+matched_internal,94,5,1,0.52,0.13585,0.52,0.13585,0.93,0.19325,0.55,0.10677,0.81,0.2789,3.13,1.38819,8.46139,3.24555,4.4,1.90095,0.70258,0.27864,0.12268,0.2088,62.37,0.0,0.02823,0.0,0.54,0.0,1,0.0,802.2142,0.0,70.29337,3.10788,0.1407,0.12413,0.38077,0.1378
N27,N27_CBP_NCBD__CBP_NCBD,negative,homotypic,noninteracting,none,no,,homo_negative,demonstrated+matched_internal,118,5,1,0.46,0.0463,0.46,0.0463,0.61,0.05607,0.56,0.02638,0.27,0.04874,3.32,0.69272,12.53864,0.30306,4.8,0.72277,0.54266,0.06927,0.06679,0.02194,51.65,0.0,0.01484,0.0,0.74,0.0,18,0.0,212.01511,0.0,67.26896,1.39239,0.15759,0.03106,0.39908,0.05589
N28,N28_FOS_bZIP__FOS_bZIP,negative,homotypic,noninteracting,none,no,,homo_negative,demonstrated+matched_internal,124,5,1,0.31,0.00632,0.31,0.00632,0.68,0.048,0.51,0.004,0.66,0.09478,8.97,0.17095,20.67297,0.22474,13.8,0.33823,0.00221,0.00044,0.0,0.0,60.72,0.0,0.0158,0.0,0.9,0.0,53,0.0,112.16872,0.0,74.41194,0.10556,0.0122,0.0004,0.07936,0.00585
N29,N29_P53_TAD__P53_TAD,negative,homotypic,noninteracting,none,no,,homo_negative,demonstrated,122,5,1,0.13,0.0172,0.13,0.0172,0.63,0.11356,0.22,0.01095,0.97,0.20804,10.49,1.97639,22.19773,0.89155,16.6,0.83762,0.0,0.0,0.0,0.0,63.92,0.0,0.01718,0.0,0.3,0.0,0,0.0,1440.17145,0.0,55.31521,0.8471,0.0,0.0,0.04816,0.02246
N30,N30_P21_full__P21_full,negative,homotypic,noninteracting,none,no,,homo_negative,inferred,328,5,1,0.24,0.04167,0.24,0.04167,0.65,0.06859,0.27,0.02482,0.81,0.09666,4.6,2.62103,27.57872,0.38278,16.0,1.71581,0.01781,0.00616,0.00019,7e-05,147.9,0.0,0.0055,0.0,0.54,0.0,2,0.0,2812.85009,0.0,46.55516,1.61435,0.02324,0.00788,0.28936,0.09834
N31,N31_EIF4EBP1__EIF4EBP1,negative,homotypic,noninteracting,none,no,,homo_negative,demonstrated,236,5,1,0.14,0.01855,0.14,0.01855,0.49,0.10404,0.24,0.01939,0.66,0.19926,10.56,1.69252,27.13997,0.64781,17.5,1.59123,0.0,0.0,0.0,0.0,110.84,0.0,0.00796,0.0,0.17,0.0,0,0.0,2585.76898,0.0,48.15089,1.57157,0.0,0.0,0.04345,0.01738
S01,S01_PTMA_full__H10_full_scr,negative_scramble,heterotypic,hetero_fuzzy,fuzzy,no,,scramble,by_construction,305,5,1,0.06,0.004,0.06,0.004,0.58,0.0049,0.15,0.0049,1.0,0.0,19.75,0.64834,31.25133,0.04928,29.8,0.29394,0.0,0.0,0.0,0.0,0.21,0.0,1e-05,0.0,0.02,0.0,0,0.0,17.64,0.0,56.75417,0.62256,0.0,0.0,0.0,0.0
S03,S03_G3BP1_IDR1__G3BP1_RGG_scr,negative_scramble,heterotypic,hetero_fuzzy,fuzzy,yes,,scramble,by_construction,205,5,1,0.09,0.00894,0.09,0.00894,0.33,0.03899,0.19,0.01166,0.44,0.08015,13.78,1.50132,26.63647,1.01634,21.1,0.92576,0.0,0.0,0.0,0.0,76.13,0.0,0.00765,0.0,0.1,0.0,0,0.0,3057.97336,0.0,39.07611,1.45719,0.0,0.0,0.0,0.0
S04,S04_FMR1_CT__CAPRIN1_CT_scr,negative_scramble,heterotypic,hetero_fuzzy,fuzzy,yes,,scramble,by_construction,291,5,1,0.12,0.01625,0.12,0.01625,0.34,0.03441,0.15,0.008,0.42,0.06794,12.25,1.69388,29.35259,0.4169,21.8,1.27844,0.0,0.00011,0.0,0.0,83.32,0.0,0.0043,0.0,0.36,0.0,0,0.0,1402.52584,0.0,43.18378,0.62991,0.0,0.00589,0.0,0.04124
S06,S06_NCOA3_ACTR__CBP_NCBD_scr,negative_scramble,heterotypic,hetero_fold,mutual_folding,no,,scramble,by_construction,106,5,1,0.46,0.06771,0.46,0.06771,0.85,0.0372,0.44,0.02577,0.78,0.07228,3.07,0.96512,17.54708,1.16677,4.9,1.20333,0.24919,0.05314,0.05391,0.02088,52.26,0.0,0.01885,0.0,0.65,0.0,2,0.0,499.92817,0.0,64.07084,0.78899,0.11883,0.03939,0.39165,0.06339
S07,S07_FOS_bZIP__JUN_bZIP_scr,negative_scramble,heterotypic,hetero_fold,mutual_folding,no,,scramble,by_construction,129,5,1,0.4,0.008,0.4,0.008,0.75,0.02828,0.57,0.008,0.62,0.04792,6.05,0.16704,16.72215,0.21758,9.2,0.17943,0.07836,0.00659,0.0,0.0,59.91,0.0,0.01442,0.0,0.64,0.0,29,0.0,220.17115,0.0,77.89669,0.3162,0.01732,0.00045,0.17611,0.00485
S08,S08_FUS_LC__FUS_LC_scr,negative_scramble,heterotypic,homo_fuzzy,fuzzy,yes,,scramble,by_construction,326,5,1,0.05,0.0049,0.05,0.0049,0.43,0.14235,0.08,0.0,0.75,0.28965,26.75,0.60947,31.36875,0.35065,30.8,0.56427,0.0,0.0,0.0,0.0,0.49,0.0,2e-05,0.0,0.01,0.0,0,0.0,49.0,0.0,39.47651,1.32486,0.0,0.0,0.0,0.0
S11,S11_TDP43_CTD__TDP43_CTD_scr,negative_scramble,heterotypic,homo_fuzzy,fuzzy,yes,,scramble,by_construction,296,5,1,0.1,0.008,0.1,0.008,0.33,0.07111,0.15,0.00748,0.45,0.15702,18.64,1.63924,29.34135,0.50723,23.9,0.61774,0.0,0.0,0.0,0.0,51.47,0.0,0.00235,0.0,0.13,0.0,0,0.0,2008.61392,0.0,44.58716,1.55638,0.0,0.0,0.0,0.0
